date,assets,credit_loss_allowances,card_interchange_fees,earnings_life_insurance,atm_fees,check_printing_fees,fiduciary_activities,sale_mutual_funds,insurcance_commissions,investment_banking_fees,net_change_fair_value,ng_assets_fv,ng_credit_deriv,ng_sale_loans,ng_other_assets,ng_other_real_estate,net_sec_income,net_servicing_fees,res_mortgages_closed,res_mortgages_open,other_adj_equity,other_nii,rent_other_real_estate,safe_deposit_rent,service_charges,total_nii,total_tr,tr_comm,tr_credit,tr_equity,tr_foreign_ex,tr_int_rt_exp,vc_rev
01Q4,5312752641,592951,,,,,5066170,2082089.3235,9608722.7978,7129185.1324,,,,,658660.05147,81867,10822.172794,3175440,3243984.9338,,,836364.75,7768907.9301,,,4778900.2904,42531169.309,1765636,-597862,,462973,978695,921830
02Q1,5312710809,643125.5,,187415,33528,,4321946.4274,2269041.1973,9278146.5562,7447412.8877,,,,,598326.99178,-242356.2137,-22428.48493,2475193,3004456.1918,,,-591285.1973,8806750.9479,150924,,4716709.326,44343076.63,4121982,73455,,716495,1196615,2135417
02Q2,5433611363,776523,,281856,42784,,4593602,2312778,9922861,7997176,,,,,540284,61404,-6884,2619751,3075278,,,1469911,7580151,172409,,4845902,43415331,2743961,22247,,620275,1367653,733786
02Q3,5500375898,1067537,,249009,42524,,4338970,2185508,1659236,6785858,,,,,540459,655039,-27063,3323420,2078733,,,-6291368,7362128,161477,,5017788,32093066,1698650,122121,,-129059,1131225,574363
02Q4,5598966940,1271857,,218650,154652,,4153049,2403737.0588,7763791.0588,7053170,,,,,1001024,718078,-60402,3999113,1503686,,,789891,10320040.324,30566,,4984049.1801,42870719.563,1709527,-98343,,357996,1348831,101043
03Q1,5762843240,1208590.5,,95812,70930,,4130312,2274077,7416866,6773749,,,,,1646008,39389,-34511,3719872,1822268,,,-2234304,8894446,127048,,4752638,42786930,3995990,157147,,943483,1317588,1577772
03Q2,6140808670,1232815,,136433,80259,,4348881,2677600,7726980,7971041,,,,,1695550,636485,-61027,4106239,1101227,,,1428980,9294705,125964,,4904913,45567863,3794150,-5359,,535916,1283961,1979632
03Q3,6165886411,1196651,,115030,209142,,4421071.3722,2723188.1222,8022609.2944,8010955.0944,,,,,4399096,-425425.8444,-51996.48333,4401806,3484029,,,863231,5808964.2222,127827,,5103120.5556,46728640.211,2774499,216023,,231427,1400023,927026
03Q4,6240821048,1940668,,119487,190282.76103,5.8125,4795770.7794,2627358.2941,8651211.4963,8073729.7978,,,,,360423.44853,831634,-24966,3935356,3552050.5257,,,374736,11508318.754,139646,7.75,5039453.6471,49856365.449,2478584,138071,,432909,1184763,722841
04Q1,6668279758,2770452.5,,106794,140151,,4911154,3072119,8544578,8756688,,,,,967123,589214,-60263,4595164,2672979,,,24133791,10346052,121154,,5018543,50939944,3973018,263196,,-228988,1751148,2187662
04Q2,6938178244,2904131.5,,79673.466667,151829,,4858667.1556,3253376.5556,11336321.133,8896154.7778,,,,,1226626.6889,1345029.5111,-799.2888889,3080191,5279563.6222,,,2223154,10897331.289,142072,,5249498.8222,56208002.044,2987718.3333,511841,,2666158.3333,559170,-749451
04Q3,7274662222,2908729.5,,98163.685083,18553,,4954846.0276,3081850.9171,10472636.232,7968327.9171,,,,,492231.95028,396228.48066,-15686.8011,5048450,2116939.6796,,,13470488,10448568.177,108505,,5542095.779,49550450.442,1292298,297187,,917091,1019901,-941881
04Q4,7643750726,2909159.5,,9083.7179487,134888,,4957949.3223,3334185.6154,13030816.751,10409917.381,,,,,476146.10623,804036.17582,64937.564103,4807667,3680221.7436,,,3705736,12582092.414,135317,,5250033.1978,59926146.469,2689670.8132,-373442,,-372546,1379961,2055697.8132
05Q1,7952489411,2950035,,75709,145959,7011,5324689,3363697,9986058,9198539,,,,,766380,164809,8802,3979481,4706921,,,-1040141,11276367,116367,2970,5126524,58512346,5920094,543573,,607163,2665019,2104339
05Q2,8112382372,2951990.5,,71472,217531,6853,5309038,3225337,10248473,9420759,,,,,1272495,847284,11727,4593213,2401817,,,872357,12337404,96426,2538,5605363,55234002,1760062,401898,,535502,828263,-5601
05Q3,8349396650,3030638,,135932,203818,6756,5335579,3463722,10940279,9381671,,,,,597754,576514,4569,4574184,5311077,,,1483321,13049264,94698,2551,5789942,62666345,5606593,705963,,1716032,1606262,1578336
05Q4,8402782524,3146686.5,,111770,201049.55147,6698,5329907.25,3413488.7647,10920238.088,10022364.787,,,,,1179986.9706,2524364.3603,42051.661765,2961204,4214699.2647,,,2106970.2721,12180955.132,95897,2259,5752471.0441,59359411.287,2948145.0588,-55970,,875336.05882,1546010,582770
06Q1,8821203347,3336477,,100712,95600,7449,5758770,3419839,10158414,10516201,,,,,914723,228038,32426,4940647,6879958,,,634770,13038460,108504,2643,5649565,66676423,6991139,-293490,,3089124,2169863,2025653
06Q2,9067258455,3563882.5,,345405,97286,7251,6138917,3478772.3371,10305098.674,11188018,,,,,1129504.8876,372856.03371,94505,3986230,6636293,,,1562730,14047276.124,131882,2466,6088901.8427,66316429.562,5281984,489616,,593097,2398320,1800957
06Q3,9320258847,3758310,,242759,98056.077778,7093.0277778,5593085,3528086.3944,10464947.033,10578127.394,,,,,926152.38333,4060299.1722,44099.172222,5420316,3460295,,,1852075,12816368.878,90268.172222,2425.5777778,6233482.0333,66748012.067,5946331,1206574,,2200679,1307393,1231702
06Q4,9708826761,3982663,,167745.875,-1615,7629,6472764.9265,3216983.0221,10766799.54,11581390.507,,,,,1248966.5735,2115151.9522,56281.0625,5254915.6618,5628651.1581,,,805654.27574,14116447.224,138260,2654,6323163.4559,70364730.342,5525676.2794,408284,,1949810,1414680.625,1721605.6544
07Q1,10073614208,3698907.5,,293210,70156,7989,6221916.074,3671515.7507,10294391.329,13002079.477,229000,,-27697,12999,908955.14521,836462.89041,-17671.13425,4117615,3488207.7479,620361,,-2484275.849,15407812.795,120194,2515,6256360.7562,70967948.326,8682388.2466,339046,668757,2116399,1844425,3713761.2466
