year,quarter,date,entity,assets,credit_loss_allowances,res_mortgages_open,other_adj_equity,fiduciary_activities,total_nii,tr_comm,investment_banking_fees,FI01650,res_mortgages_closed,net_servicing_fees,insurcance_commissions,ng_other_assets,net_sec_income,ng_other_real_estate,rent_other_real_estate,total_tr,check_printing_fees,earnings_life_insurance,atm_fees,safe_deposit_rent,service_charges,net_change_fair_value,card_interchange_fees,vc_rev,tr_int_rt_exp,tr_foreign_ex,tr_credit,tr_equity,ng_sale_loans,ng_credit_deriv,sale_mutual_funds,ng_assets_fv,other_nii,name,rssd9002,ID_RSSD,D_DT_START,D_DT_END,NM_SHORT,DOMESTIC_IND,rank
1990,1,90Q1,1068762,30758785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068762,1068762,1068762,7/22/1989,6/1/1990,MELLON BC,Y,20
1990,1,90Q1,1250802,30423030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250802,1073757,1250802,11/22/1988,12/31/1991,NCNB TX CORP,Y,21
1990,1,90Q1,1416774,30418675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416774,1073757,1416774,11/22/1988,12/31/1991,NCNB TX BC,Y,22
1990,1,90Q1,1248612,30211638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248612,1248612,1248612,5/1/1989,4/12/1991,FIRST FIDELITY BC,Y,23
1990,1,90Q1,1076776,29320757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076776,1076776,1076776,1/18/1990,5/17/1990,BARNETT BANKS,Y,24
1990,1,90Q1,1020603,29025694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020603,1020603,1020603,11/4/1989,8/31/1994,CONTINENTAL BK CORP,Y,25
1990,2,90Q2,1042351,227752000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1719000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042351,1042351,1042351,2/27/1989,10/5/1990,CITICORP,Y,1
1990,2,90Q2,1026016,103960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026016,1026016,1026016,6/1/1990,9/7/1990,BANKAMERICA CORP,Y,2
1990,2,90Q2,1040795,102371153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040795,1040795,1040795,1/1/1990,8/9/1991,CHASE MANHATTAN CORP,Y,3
1990,2,90Q2,1024526,97140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1024526,1024526,1024526,9/29/1989,8/26/1990,SECURITY PACIFIC CORP,Y,4
1990,2,90Q2,1037115,93102561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037115,1037115,1037115,12/21/1981,6/7/1991,J P MORGAN & CO,Y,5
1990,2,90Q2,1039502,75216000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039502,1039502,1039502,6/21/1990,8/5/1990,CHEMICAL BKG CORP,Y,6
1990,2,90Q2,1073757,66187512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073757,1073757,1073757,12/30/1988,8/26/1990,NCNB CORP,Y,7
